filename,original_filename,title,author,series,volume,file_format,book_id
Jane Austen - Pride and Prejudice,Jane Austen - Pride and Prejudice,Pride and Prejudice,Jane Austen,,,epub,
Charles Dickens - A Tale of Two Cities,Charles Dickens - A Tale of Two Cities,A Tale of Two Cities,Charles Dickens,,,epub,
Herman Melville - Moby Dick,Herman Melville - Moby Dick,Moby Dick,Herman Melville,,,epub,
Mark Twain - The Adventures of Tom Sawyer,Mark Twain - The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,Mark Twain,,,epub,
Pride and Prejudice - Jane Austen,Pride and Prejudice - Jane Austen,Pride and Prejudice,Jane Austen,,,epub,
A Tale of Two Cities - Charles Dickens,A Tale of Two Cities - Charles Dickens,A Tale of Two Cities,Charles Dickens,,,epub,
Moby Dick - Herman Melville,Moby Dick - Herman Melville,Moby Dick,Herman Melville,,,epub,
The Adventures of Tom Sawyer - Mark Twain,The Adventures of Tom Sawyer - Mark Twain,The Adventures of Tom Sawyer,Mark Twain,,,epub,
Arthur Conan Doyle - Sherlock Holmes 01 - A Study in Scarlet,Arthur Conan Doyle - Sherlock Holmes 01 - A Study in Scarlet,A Study in Scarlet,Arthur Conan Doyle,Sherlock Holmes,1,epub,
Arthur Conan Doyle - Sherlock Holmes 02 - The Sign of the Four,Arthur Conan Doyle - Sherlock Holmes 02 - The Sign of the Four,The Sign of the Four,Arthur Conan Doyle,Sherlock Holmes,2,epub,
Arthur Conan Doyle - Sherlock Holmes 03 - The Hound of the Baskervilles,Arthur Conan Doyle - Sherlock Holmes 03 - The Hound of the Baskervilles,The Hound of the Baskervilles,Arthur Conan Doyle,Sherlock Holmes,3,epub,
01 - A Study in Scarlet,01 - A Study in Scarlet,A Study in Scarlet,,,01,epub,
02 - The Sign of the Four,02 - The Sign of the Four,The Sign of the Four,,,02,epub,
Sherlock Holmes #01 - A Study in Scarlet,Sherlock Holmes #01 - A Study in Scarlet,A Study in Scarlet,,Sherlock Holmes,1,epub,
Sherlock Holmes #02 - The Sign of the Four,Sherlock Holmes #02 - The Sign of the Four,The Sign of the Four,,Sherlock Holmes,2,epub,
Jane Austen - Pride and Prejudice,Jane.Austen.-.Pride.and.Prejudice [epub],Pride and Prejudice,Jane Austen,,,epub,
Jane Austen - Pride and Prejudice,Jane_Austen_-_Pride_and_Prejudice,Pride and Prejudice,Jane Austen,,,epub,
Pride and Prejudice - Jane Austen,Pride_and_Prejudice_-_Jane_Austen,Pride and Prejudice,Jane Austen,,,epub,
Sherlock Holmes 01 - A Study in Scarlet,Sherlock_Holmes_01_-_A_Study_in_Scarlet [Retail],A Study in Scarlet,,Sherlock Holmes,1,epub,
A Study in Scarlet - Arthur Conan Doyle,A.Study.in.Scarlet.-.Arthur.Conan.Doyle [Retail],A Study in Scarlet,Arthur Conan Doyle,,,epub,
The Adventures of Tom Sawyer - Mark Twain,The.Adventures.of.Tom.Sawyer.-.Mark.Twain,The Adventures of Tom Sawyer,Mark Twain,,,epub,
Mark Twain - The Adventures of Tom Sawyer,Mark_Twain_-_The_Adventures_of_Tom_Sawyer [epub],The Adventures of Tom Sawyer,Mark Twain,,,epub,
